ts,devices,in_topology,not_in_topology
2025-08-15T04:23:46+00:00,5,5,0
2025-08-15T04:24:01+00:00,5,5,0
2025-08-15T04:51:05+00:00,5,5,0
2025-08-15T06:04:27+00:00,5,5,0
2025-08-15T06:21:20+00:00,5,5,0
2025-08-15T06:24:17+00:00,5,5,0
2025-08-15T09:47:44+00:00,5,5,0
2025-08-15T10:03:04+00:00,5,5,0
2025-08-15T10:09:54+00:00,5,4,1
2025-08-15T10:17:21+00:00,5,4,1
